"Level","Category","File","Line","Message","Tool"
"Warning","ErrorProne","get-logs.ps1","2","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","69","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","65","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","18","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","51","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/services/MinePersistenceService.java","139","The method 'loadMineData(MineManager, ConfigManager, PrivateMines, MineProtectionManager, Map)' has an NPath complexity of 30728, current threshold is 200","PMD"
"Warning","ErrorProne","deploy.ps1","38","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","10","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","32","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","deploy.ps1","63","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/guis/MineVisitorsGUI.java","28","The method 'openGUI(Player, int)' has an NPath complexity of 480, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/services/MineMemoryService.java","40","Avoid using a branching statement as the last in a loop.","PMD"
"Warning","ErrorProne","deploy.ps1","19","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","deploy.ps1","5","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","deploy.ps1","76","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","get-logs.ps1","64","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/utils/MineCommandUtils.java","84","The method 'formatDuration(long)' has an NPath complexity of 378, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/listeners/MineStatsListener.java","35","The method 'findMineByLocation(Location)' has an NPath complexity of 294, current threshold is 200","PMD"
"Warning","ErrorProne","get-logs.ps1","28","File 'get-logs.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/guis/MineExpandGUI.java","22","The method 'openGUI(Player)' has an NPath complexity of 872, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/listeners/GUIListener.java","37","The method 'onInventoryClick(InventoryClickEvent)' has an NPath complexity of 240, current threshold is 200","PMD"
"Warning","ErrorProne","deploy.ps1","10","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","deploy.ps1","2","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/listeners/GUIListener.java","178","The method 'handleVisitorsGUIClick(Player, ItemStack, int, String, InventoryClickEvent)' has an NPath complexity of 4464, current threshold is 200","PMD"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineCommand.java","56","The method 'onCommand(CommandSender, Command, String, String)' has an NPath complexity of 81096, current threshold is 200","PMD"
"Warning","ErrorProne","deploy.ps1","24","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
"Warning","ErrorProne","src/main/java/fr/ju/privateMines/commands/MineTabCompleter.java","24","The method 'onTabComplete(CommandSender, Command, String, String)' has an NPath complexity of 864, current threshold is 200","PMD"
"Warning","ErrorProne","deploy.ps1","34","File 'deploy.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","PSScriptAnalyzer"
